File,M,Legendre1,LegendreDiscOrth,FourierInterpolation,FourierInterpolationDiscOrth
lenna_color_128,10,0.045275323758515104,0.045275323758515104,0.03752842941766273,0.03752842941766273
lenna_color_128,25,0.020063427629424153,0.020063427629424153,0.014242710701505951,0.014242710701505951
lenna_color_128,50,0.009011941280310059,0.009011941280310059,0.007438494873177405,0.007438494873177405
lenna_color_128,100,0.0024609807441671825,0.0023757119173431498,0.009377197176529095,0.0032236553879618156
lenna_color_128,150,0.0015223497503101826,0.000831119380964821,0.6260778161938293,0.0018749652306043847
lenna_color_128,250,0.6292504574431881,0.0002984326420621633,0.6299490608154464,0.0008298430991697773
lenna_color_128,350,0.6722760374723487,0.00012877380745184908,0.7721055314506847,0.00047422670629283255
