File,M,Original_tf1,Original_tf2,Legendre1
lenna_color_64,10,0.08095095895163712,0.08338867105484214,0.03654739110438224
lenna_color_64,25,0.03057213076554355,0.05817603782504236,0.012950763497106088
lenna_color_64,50,0.012579112926819468,0.05464108086065574,0.0038047868840229986
lenna_color_64,100,0.00468753732316697,0.14559004074701934,0.011818963647206075
lenna_color_128,25,0.03916130713858745,0.06531405368484078,0.020063427629424153
lenna_color_128,50,0.019481912356398623,0.054832120464497806,0.009011941280310059
lenna_color_128,100,0.007190033540370749,0.061342341755670014,0.0024609807441671825
lenna_color_128,150,0.003883755592448669,0.08338825998162731,0.0015223497503101826
lenna_color_128,250,0.008228674264394713,0.21155289593221624,0.6292504574431881
lenna_color_256,50,0.026592300753201133,0.061515876212009844,0.01611052889133997
lenna_color_256,100,0.01341443806837893,0.05451558382252059,0.007906436447003708
lenna_color_256,150,0.008687547234759155,0.055951377408693256,0.004634678090042439
lenna_color_256,250,0.004287416027175875,0.07178011434097714,0.0019027827475784644
lenna_color_256,350,0.0027988342859193945,0.10754530575299848,0.0023853376964506267
pepper_color_64,10,0.12942594053104906,0.10773328295997406,0.06199084769200945
pepper_color_64,25,0.050324340500577554,0.06561311962265592,0.020931234823459016
pepper_color_64,50,0.018820772951374465,0.0554538462842918,0.005002486083359309
pepper_color_64,100,0.005519630605612567,0.12384697982499983,0.024655212540384785
pepper_color_128,25,0.06303887099059154,0.07597297183179239,0.03117626439428304
pepper_color_128,50,0.02889976031300575,0.056426024282308626,0.01065936966998026
pepper_color_128,100,0.00894161471139257,0.05954364735797023,0.0023738067994187846
pepper_color_128,150,0.00416306397958315,0.07809292020369188,0.0016168112852287392
pepper_color_128,250,0.008291318863273084,0.18581233675062037,0.629561123219223
pepper_color_256,50,0.03777117424926147,0.06310699731967798,0.01778802386757202
pepper_color_256,100,0.01596784475850318,0.05352261465194564,0.00681745789236039
pepper_color_256,150,0.008858205123313258,0.05423758744795043,0.003497332195034614
pepper_color_256,250,0.0037824723055961125,0.06722348759375925,0.0013123194048234319
pepper_color_256,350,0.0025302241651840823,0.09551455085819022,0.0022940194333005786
