,36x8y5r60s0_5.png,36x8y5r60s1_75.png,36x8y5r90s1_75.png,36x8y5r90s2.png,36x8y5r0s1_25.png,36x8y5r60s0_75.png,36x8y5r0s1_0.png,36x8y5r150s0_75.png,36x8y5r30s1_25.png,36x8y5r240s1_25.png,36x8y5r210s1_5.png,36x8y5r150s1_0.png,36x8y5r0s0_75.png,36x8y5r90s1_0.png,36x8y5r270s1_0.png,36x8y5r30s1_5.png,36x8y5r180s1_75.png,36x8y5r240s0_5.png,36x8y5r150s0_5.png,36x8y5r150s1_75.png,36x8y5r330s1_75.png,36x8y5r0s1_75.png,36x8y5r210s1_75.png,36x8y5r90s0_75.png,36x8y5r120s1_0.png,36x8y5r120s2.png,36x8y5r60s1_0.png,36x8y5r270s1_5.png,36x8y5r210s0_5.png,36x8y5r240s1_75.png,36x8y5r300s1_0.png,36x8y5r60s1_25.png,36x8y5r240s1_0.png,36x8y5r210s1_0.png,36x8y5r210s0_75.png,36x8y5r180s0_5.png,36x8y5r180s1_25.png,36x8y5r300s0_75.png,36x8y5r180s0_75.png,36x8y5r120s1_75.png,36x8y5r120s1_5.png,36x8y5r30s2.png,36x8y5r0s0_5.png,36x8y5r180s1_5.png,36x8y5r150s1_5.png,36x8y5r330s1_25.png,36x8y5r90s0_5.png,36x8y5r30s0_5.png,36x8y5r330s1_0.png,36x8y5r300s1_25.png,36x8y5r30s0_75.png,36x8y5r120s0_5.png,36x8y5r330s2.png,36x8y5r330s0_75.png,36x8y5r150s2.png,36x8y5r330s0_5.png,36x8y5r90s1_25.png,36x8y5r90s1_5.png,36x8y5r150s1_25.png,36x8y5r270s2.png,36x8y5r270s1_25.png,36x8y5r270s1_75.png,36x8y5r210s2.png,36x8y5r210s1_25.png,36x8y5r30s1_0.png,36x8y5r180s1_0.png,36x8y5r270s0_5.png,36x8y5r330s1_5.png,36x8y5r0s1_5.png,36x8y5r300s0_5.png,36x8y5r0s2.png,36x8y5r270s0_75.png,36x8y5r300s1_75.png,36x8y5r300s1_5.png,36x8y5r300s2.png,36x8y5r240s2.png,36x8y5r60s2.png,36x8y5r180s2.png,36x8y5r240s0_75.png,36x8y5r60s1_5.png,36x8y5r120s1_25.png,36x8y5r240s1_5.png,36x8y5r120s0_75.png,36x8y5r30s1_75.png,Mean,StDev,StDev/Mean,
1_1_1,4.11191725949164E-05,1.33648388355309E-05,1.57848089693581E-05,1.40350531263054E-05,1.95866779772534E-05,2.67451426269938E-05,3.78237411298894E-05,1.51426548109774E-05,3.40829302535633E-05,1.12063615494066E-05,1.34186186965669E-05,2.80149779150571E-05,4.99928842143494E-05,2.48775619501181E-05,2.35953555121437E-05,1.92611012363376E-05,1.1277622759676E-05,4.15831867356736E-05,4.44172782153441E-05,1.18395957808674E-05,1.48679094306385E-05,1.7027488471837E-05,1.15355831142578E-05,3.91841681280784E-05,2.78476049208452E-05,1.54240310966681E-05,4.15894142588209E-05,1.1608811497722E-05,2.91468976269835E-05,1.33501488173318E-05,2.34342150697475E-05,3.10594384299046E-05,1.07486812859696E-05,1.08388311146165E-05,1.34495824952072E-05,2.78987951636129E-05,1.74207464413834E-05,2.36342990569893E-05,1.2974450916824E-05,1.74001545809774E-05,2.11438220627469E-05,1.77311711089017E-05,8.244192725883E-05,1.29922396782506E-05,1.51148268885705E-05,2.46828806119048E-05,8.67668433956387E-05,8.74544786545127E-05,2.43236337263328E-05,2.35338184220743E-05,5.249659938273E-05,9.29934258434407E-05,1.3757498439537E-05,3.83387074680043E-05,1.53880485131414E-05,3.82023231761654E-05,2.62018789496562E-05,1.91436407183292E-05,1.75749853876464E-05,1.33616660507578E-05,1.07915456643165E-05,1.2496848627409E-05,1.07182565406886E-05,1.0752761215787E-05,3.98482994679639E-05,1.06491763323721E-05,2.37029518650565E-05,1.29696880399286E-05,1.77642780091974E-05,2.37136275979995E-05,1.67546026282962E-05,2.37564847275716E-05,1.24674057598866E-05,1.16229120456626E-05,1.33356600581994E-05,1.06370320357311E-05,1.84741858858071E-05,1.0616154670865E-05,2.66378526105307E-05,1.40829324842586E-05,2.19720600867167E-05,1.40085538820905E-05,4.26381419759391E-05,1.81204378814926E-05,2.45212747933295E-05,1.74472551218851E-05,0.711515011716733,1_1_1
2_0_0,2.9875834992687,2.98765553851582,2.98764558000348,2.9876582151216,2.9876474528386,2.9876265753645,2.98762222310767,2.98764487357178,2.98762559317659,2.98765588548479,2.98765211962722,2.98764664253742,2.98758600390682,2.9876447621834,2.98764106480419,2.9876448554209,2.98765086476282,2.98757368106632,2.98757412885594,2.98765806568329,2.98765157253431,2.98764189664191,2.98765738028995,2.9876070137232,2.98765847989123,2.98766961773434,2.98762687144423,2.98765087697403,2.98759737083564,2.98765293159656,2.98765982832968,2.98762978418835,2.98766852232275,2.98766841405123,2.98764626667558,2.98759809526991,2.98765118395946,2.98764050383753,2.98764231875647,2.98766322792702,2.98765557673325,2.98765261735047,2.98751499794658,2.98765055701651,2.98765093618034,2.98763670855991,2.98751577240023,2.98751450849539,2.98764876847937,2.98765028740411,2.98759069581736,2.98752530656741,2.98765819316212,2.98760555827775,2.98765743581337,2.98757664394999,2.98763967157593,2.98764329542334,2.98765009966652,2.98765642097888,2.98765831087271,2.98764730379894,2.98766200910988,2.9876587765272,2.9876271655457,2.98766360411149,2.98759921440656,2.9876518986467,2.98764300267155,2.98761871664662,2.98765246494702,2.98762271901155,2.98766762297016,2.98766636456826,2.98767012688571,2.98766294154655,2.98765347819804,2.98766197567405,2.98762063813548,2.98765260841296,2.98765683161064,2.98764966675569,2.98761896493632,2.98764879301987,2.98763510753683,3.51618756648216E-05,1.17691332439225E-05,2_0_0
2_0_2,8.92565516510262,8.92608561682425,8.92602611171433,8.92610161038356,8.92603730245299,8.92591255382418,8.92588654800679,8.92602189057973,8.92590668500377,8.92608769007189,8.92606518791301,8.92603246066515,8.9256701307399,8.92602122500191,8.9259991321043,8.92602178212297,8.92605768971803,8.92559649980017,8.92559917540935,8.92610071744244,8.92606191886677,8.92600410257007,8.92609662200103,8.92579566844806,8.92610319246598,8.92616974473285,8.92591432297562,8.92605776268366,8.92573805022405,8.92607003967751,8.92611124981493,8.92593172736932,8.92616319927818,8.92616255231937,8.92603021478054,8.9257423788604,8.92605959701434,8.92599578017058,8.92600662482455,8.92613156350731,8.9260858451853,8.92606816196111,8.92524586295578,8.92605585084104,8.92605811645927,8.92597310233471,8.92525049034014,8.92524293847047,8.92604516379629,8.92605423982588,8.92569816573447,8.92530745738068,8.92610147916873,8.92578697185208,8.92609695377094,8.92561420347547,8.92599080717431,8.92601246068804,8.92605311803737,8.92609088981634,8.92610218252677,8.92603641189705,8.92612428067847,8.92610496496002,8.92591608030663,8.92613381133246,8.92574906592268,8.92606386748723,8.92601071141229,8.92586559605722,8.92606725130399,8.92588951115398,8.92615782534416,8.92615030597251,8.92617278708529,8.92612985229058,8.92607330578884,8.92612408088857,8.92587707741302,8.92606810855676,8.9260933434697,8.92605053126536,8.92586707964719,8.92604531043306,8.92596353702296,0.000210099286973,2.35379952092874E-05,2_0_2
2_2_2,1.38819641593713E-06,1.42125902964414E-06,1.43859564062252E-06,1.43620953500746E-06,1.42899113751136E-06,1.40014984975766E-06,1.43639359911121E-06,1.43485944484606E-06,1.39035572248326E-06,1.42897935670659E-06,1.43163192693147E-06,1.44464460468931E-06,1.4162938539865E-06,1.41708106336508E-06,1.4664400544222E-06,1.41510936267341E-06,1.44585721503094E-06,1.38210904929272E-06,1.48460514535284E-06,1.42744831533836E-06,1.43253372600063E-06,1.43949602265565E-06,1.42621529900104E-06,1.40379236962982E-06,1.41640304198244E-06,1.42309110983666E-06,1.38397589594593E-06,1.44866155025891E-06,1.44859465178529E-06,1.42484928931763E-06,1.43122923664177E-06,1.39292049186149E-06,1.42410421846692E-06,1.42363060850872E-06,1.43015840782977E-06,1.47916865249239E-06,1.45635833504016E-06,1.43362872181521E-06,1.44790789952303E-06,1.42867531168484E-06,1.43944273843049E-06,1.41253527685518E-06,1.36146539272983E-06,1.45033202018138E-06,1.43564695785361E-06,1.4210059341123E-06,1.3906039913663E-06,1.30655112324182E-06,1.40778214447291E-06,1.43490792436623E-06,1.35392572024013E-06,1.50737927557647E-06,1.42216569267108E-06,1.47082696756249E-06,1.43230895171246E-06,1.47790692124661E-06,1.44381642768098E-06,1.44107381796171E-06,1.43043768449559E-06,1.44753591136036E-06,1.4451486603179E-06,1.44873999502787E-06,1.42549727430073E-06,1.42671095324844E-06,1.37388062553684E-06,1.44180725461794E-06,1.47460785687279E-06,1.43312443091106E-06,1.43659169129321E-06,1.43334064182907E-06,1.44092687910434E-06,1.46776102971338E-06,1.42600728459259E-06,1.42873664492119E-06,1.42539039887701E-06,1.42499660712971E-06,1.41520425760466E-06,1.44271493122962E-06,1.42557281704917E-06,1.42487500707324E-06,1.41436535791694E-06,1.42312945531372E-06,1.43570986392483E-06,1.41187409351088E-06,1.42815440534552E-06,2.8576888385161E-08,0.020009663015567,2_2_2
3_1_1,0.000163654657241,5.32556680870105E-05,6.2973218641056E-05,5.59541499665778E-05,7.78571038427254E-05,0.000106262647183,0.000149851252145,6.07358340596507E-05,0.000135288375269,4.46550899379138E-05,5.38251487511294E-05,0.000111969281834,0.00019816285685,9.89677016848746E-05,9.34903757029323E-05,7.67210567276258E-05,4.51832879887102E-05,0.000165763411281,0.000177608915519,4.74579944541484E-05,5.90148960592412E-05,6.75936759284511E-05,4.62326351787105E-05,0.000155954987842,0.00011106101288,6.16275112642367E-05,0.000165532494636,4.62317499073692E-05,0.000116727237014,5.32671181899179E-05,9.28344024869324E-05,0.000123520676199,4.30079181149531E-05,4.33833910785847E-05,5.39485562520298E-05,0.000111694435713,6.98428612973842E-05,9.36167850407455E-05,5.20266291941008E-05,6.95714474603947E-05,8.45611190979001E-05,7.05290984752006E-05,0.0003270763446,5.20982149013083E-05,6.06261194916622E-05,9.78521863450301E-05,0.000345349209733,0.000347641756177,9.65134487486139E-05,9.3223803670844E-05,0.000208566973673,0.000370571023956,5.47277990295787E-05,0.000151782578918,6.16116182658341E-05,0.000151235998734,0.000104578728001,7.64061071985442E-05,7.02518681293609E-05,5.31051310129192E-05,4.30630478482602E-05,4.97093407792717E-05,4.28971134188818E-05,4.29193379372429E-05,0.0001582422501,4.2611933008737E-05,9.39074887731456E-05,5.15467045982297E-05,7.05571897922867E-05,9.39314495263554E-05,6.64822235771288E-05,9.41204006282585E-05,4.95874038718348E-05,4.62830143380197E-05,5.29908746983958E-05,4.25563112111338E-05,7.36600655478697E-05,4.24744248295627E-05,0.000105974836784,5.6217731167939E-05,8.7575267873026E-05,5.60104734740216E-05,0.000170049771339,7.21270339396117E-05,9.76206341205573E-05,6.93259743762594E-05,0.710156976553183,3_1_1
3_1_3,0.000651346930072,0.00021221102763,0.00025123055171,0.000223074816341,0.000309482221836,0.000422198166745,0.000593685264825,0.000243605998087,0.00053701205697,0.000177941524425,0.00021590498274,0.000447514901227,0.000785482143154,0.000393712454477,0.000370430966576,0.000305596262289,0.000181024809659,0.000660784097526,0.000710194954289,0.00019023126121,0.000234246648672,0.000268325245563,0.000185292458508,0.000620708806512,0.000442930320829,0.00024623589779,0.000658845700732,0.00018411658247,0.000467468203148,0.000212535898969,0.000367762532667,0.000491230950074,0.000172084460537,0.000173645903472,0.000216396808058,0.000447175116205,0.000280012414544,0.000370821339792,0.000208623098014,0.000278169155292,0.000338187809274,0.000280542875661,0.001297627781811,0.000208911170292,0.000243173566705,0.000387922727621,0.00137455820675,0.001381916541009,0.000382954532787,0.00036928463605,0.000828628578207,0.001476694535662,0.000217709055159,0.000600905789067,0.000246684399396,0.000598715612332,0.000417401758527,0.000304952088431,0.000280815310329,0.00021106312111,0.000171840637816,0.000197731334866,0.000171684856832,0.000171311306185,0.000628398452407,0.000170508664527,0.000372047182051,0.000204867129167,0.000280243139001,0.000372069485095,0.000263801305815,0.000372893966259,0.000197227127287,0.000184301266997,0.000210565715461,0.000170257983413,0.000293696582358,0.000169936932961,0.000421605532382,0.000224415852395,0.000349053639612,0.000223946965917,0.000678193828165,0.000287096209206,0.000388638549119,0.000275470399164,0.708808737033912,3_1_3
3_3_3,1.44012137533299E-09,1.06310211550708E-09,1.15534469072067E-09,1.0569492867507E-09,9.52954040332496E-10,1.03025260301452E-09,5.98460064258282E-10,1.40779257411778E-09,9.47389264402053E-10,9.54475051013812E-10,1.32981603443196E-09,1.73609560346206E-09,6.67352212562256E-10,1.11392547109717E-09,5.40055302592639E-10,1.17958321931659E-09,1.14204137193946E-09,1.11982827984907E-09,2.12420555655485E-09,1.25039265691696E-09,7.83539821148089E-10,8.23677312204566E-10,1.22798193053042E-09,1.38460656961618E-09,1.58929244985925E-09,1.36689773283696E-09,1.46140974562102E-09,8.3921809156333E-10,1.76707292309296E-09,9.71063655451964E-10,7.20174805424882E-10,1.19952516026892E-09,1.13254754613437E-09,1.15822438797513E-09,1.3279697140205E-09,1.70749566090655E-09,1.43138483557881E-09,7.06785852795978E-10,1.26523255880425E-09,1.47741543407483E-09,1.62185251530856E-09,1.04373452966455E-09,8.1981118312855E-10,1.23938918810472E-09,1.41069531584355E-09,7.57853514058371E-10,1.9759963630542E-09,1.53519183572204E-09,8.6530750775494E-10,7.15216052401203E-10,1.18171660814423E-09,2.80031253989551E-09,9.61931416545633E-10,4.18218837936999E-10,1.39295573654304E-09,4.05205806524322E-10,1.46072302804656E-09,1.25957646334921E-09,1.3913090817567E-09,7.68881886822926E-10,9.21854774119634E-10,8.10401781757257E-10,1.14297443682752E-09,1.03642537147127E-09,1.03942251232455E-09,1.05992353339363E-09,5.08872495597818E-10,8.3777868824732E-10,8.62184890448085E-10,7.07624962788439E-10,7.76417561295013E-10,5.33926077760248E-10,9.67223100786892E-10,1.00496361642455E-09,9.32936115282395E-10,1.11291139168371E-09,1.23918783508383E-09,1.04774806830128E-09,8.11795215599493E-10,1.18147191759645E-09,1.38218619297126E-09,1.07072922645909E-09,1.93655139969453E-09,1.10477681166728E-09,1.13342643274131E-09,3.92141049807561E-10,0.345978387727493,3_3_3
4_0_0,4.93815865817861,4.93851585912999,4.93846680235223,4.93852969720329,4.938477049237,4.93837352551986,4.93835444419375,4.93846104205081,4.93836916184455,4.93851765934419,4.93849718890904,4.93846918931748,4.93817548630658,4.93846341579868,4.93844667244954,4.93846296203972,4.93849229014978,4.93810836232315,4.93810760503835,4.93852697847556,4.93849716696843,4.93845011388214,4.93852362756839,4.93827595361137,4.93852884354616,4.93858448540795,4.9383734174753,4.93849366539115,4.93822377204532,4.93850248145359,4.93853879618561,4.93838875114024,4.93857928484076,4.93857862740226,4.93846811560504,4.9382284685748,4.93849242449084,4.93844328224088,4.93844944522213,4.93855219165175,4.93851387622441,4.93850194880665,4.93782411115865,4.93849026090603,4.93849103281674,4.93842452720653,4.93782249775748,4.93781794985944,4.93848374955921,4.93849166736824,4.93819599730548,4.93786573150887,4.9385295950197,4.93827176277508,4.9385237982345,4.93812840006798,4.93843631547719,4.93845508176616,4.9384876346535,4.93852155318898,4.93852990423328,4.93847620325271,4.93854717880663,4.93853161561492,4.93837668867189,4.93855563172045,4.9382394586331,4.93849857084488,4.93845544861846,4.93833518077136,4.93850256966795,4.93835595547426,4.93857581979287,4.938569497848,4.9385886322269,4.93855192339536,4.93850536473023,4.93854772161724,4.93834309870517,4.93850094085207,4.93852146489634,4.93848581239845,4.93833215599539,4.93848258192843,4.93841468901099,0.000174085533633,3.52512991711132E-05,4_0_0
4_0_2,14.7531613239453,14.7545842585779,14.7543885140415,14.7546388204714,14.7544283770548,14.7540159839196,14.7539374830557,14.754367815617,14.7539980964808,14.7545913505102,14.7545115942171,14.7544008927389,14.7532239677253,14.7543743574453,14.7543060749558,14.7543734622246,14.7544907612905,14.7529625775302,14.7529625263194,14.7546299598371,14.7545088268495,14.7543204647103,14.754616563641,14.75362787471,14.7546375776081,14.7548588216675,14.7540171232751,14.7544949303365,14.7534243579607,14.7545314164117,14.7546739720114,14.7540773188073,14.7548378743139,14.7548353753982,14.7543958286838,14.7534419667217,14.7544927390049,14.7542931759272,14.754320551585,14.7547307821963,14.7545785230764,14.7545282731426,14.7518235893087,14.7544831788165,14.7544873575131,14.7542183999348,14.7518225933632,14.751802765514,14.754454892526,14.7544860493555,14.7533084156724,14.7519988333147,14.7546384067342,14.7536081667529,14.7546173477366,14.7530370728692,14.7542682516709,14.754342214788,14.7544730738744,14.7546056285277,14.754639911876,14.7544251135232,14.7547097863173,14.754647324549,14.7540283487737,14.754742917771,14.7534803271637,14.7545146316487,14.7543418650701,14.753862615147,14.7545293754156,14.7539444471409,14.7548230803785,14.7547979778032,14.7548737254817,14.7547285664317,14.754542730036,14.7547112429275,14.7538957598855,14.7545252175865,14.7546073926533,14.7544654916899,14.7538548044067,14.7544515252481,14.7541811065857,0.000693728931901,4.70191416852618E-05,4_0_2
4_2_2,6.88340585711299E-06,7.04617479706907E-06,7.13223603435471E-06,7.12026265006112E-06,7.08456190107708E-06,6.94170193400799E-06,7.12019371903026E-06,7.11354002420053E-06,6.89311472776685E-06,7.08388670100851E-06,7.09745625732677E-06,7.16330335548178E-06,7.02050844756029E-06,7.02588670503926E-06,7.26851263389499E-06,7.01611309791059E-06,7.16770995691945E-06,6.84982848218801E-06,7.36059994539973E-06,7.07673087305991E-06,7.10124773864585E-06,7.1359638686287E-06,7.07058753907652E-06,6.96052755826418E-06,7.02340602027635E-06,7.05577166157086E-06,6.86272058536395E-06,7.18111378014807E-06,7.18157881694177E-06,7.06302464695015E-06,7.09491410069128E-06,6.90635541153953E-06,7.06006407473833E-06,7.05780017151285E-06,7.09013593533377E-06,7.33361447075188E-06,7.22047410460375E-06,7.10662485476175E-06,7.17807534023157E-06,7.0836544890217E-06,7.13720072759968E-06,7.00304569016923E-06,6.74875485586485E-06,7.19016252117271E-06,7.11751169198588E-06,7.04438260037051E-06,6.89646427696598E-06,6.47889626390718E-06,6.97924959965595E-06,7.11307535553294E-06,6.71306152581576E-06,7.47610607803798E-06,7.05042764742598E-06,7.29002667247612E-06,7.10132796836729E-06,7.32497715349213E-06,7.1590687572438E-06,7.14488718119601E-06,7.0922628983991E-06,7.17537707932023E-06,7.16401291524336E-06,7.18133428242577E-06,7.06692864491159E-06,7.07289710981569E-06,6.81176572719694E-06,7.14762869263971E-06,7.3086986296618E-06,7.10423360398186E-06,7.12181166494612E-06,7.1051431565586E-06,7.14300971668472E-06,7.27487850649187E-06,7.06934389756943E-06,7.08286933517716E-06,7.06620900477086E-06,7.06437235558118E-06,7.01664558894991E-06,7.15207305913105E-06,7.06560641015013E-06,7.06431683688568E-06,7.01285358775826E-06,7.05452825205501E-06,7.11960191980595E-06,6.99995094235308E-06,7.08024242446747E-06,1.41446102895583E-07,0.019977579073675,4_2_2
