,36x8y5r330s1_5.png,36x8y5r120s1_25.png,36x8y5r0s1_0.png,36x8y5r60s1_5.png,36x8y5r30s2.png,36x8y5r270s0_5.png,36x8y5r240s1_5.png,36x8y5r300s0_75.png,36x8y5r150s1_75.png,36x8y5r210s1_25.png,36x8y5r120s0_75.png,36x8y5r300s0_5.png,36x8y5r330s0_75.png,36x8y5r300s1_0.png,36x8y5r0s1_75.png,36x8y5r60s0_75.png,36x8y5r270s0_75.png,36x8y5r90s0_5.png,36x8y5r30s1_5.png,36x8y5r210s0_5.png,36x8y5r180s1_0.png,36x8y5r60s2.png,36x8y5r30s0_5.png,36x8y5r0s1_5.png,36x8y5r210s1_75.png,36x8y5r90s1_75.png,36x8y5r210s1_5.png,36x8y5r120s1_0.png,36x8y5r60s0_5.png,36x8y5r90s0_75.png,36x8y5r0s0_75.png,36x8y5r300s2.png,36x8y5r300s1_5.png,36x8y5r60s1_75.png,36x8y5r240s1_0.png,36x8y5r90s1_0.png,36x8y5r150s1_25.png,36x8y5r180s2.png,36x8y5r30s1_0.png,36x8y5r330s1_0.png,36x8y5r0s2.png,36x8y5r150s0_5.png,36x8y5r240s2.png,36x8y5r240s0_5.png,36x8y5r180s0_75.png,36x8y5r300s1_75.png,36x8y5r330s2.png,36x8y5r150s0_75.png,36x8y5r60s1_0.png,36x8y5r150s1_0.png,36x8y5r60s1_25.png,36x8y5r180s1_5.png,36x8y5r210s2.png,36x8y5r330s1_75.png,36x8y5r240s0_75.png,36x8y5r30s0_75.png,36x8y5r120s1_5.png,36x8y5r90s1_25.png,36x8y5r330s1_25.png,36x8y5r240s1_25.png,36x8y5r0s0_5.png,36x8y5r270s1_75.png,36x8y5r330s0_5.png,36x8y5r270s1_0.png,36x8y5r270s1_5.png,36x8y5r90s1_5.png,36x8y5r120s2.png,36x8y5r270s2.png,36x8y5r180s1_25.png,36x8y5r180s1_75.png,36x8y5r90s2.png,36x8y5r210s0_75.png,36x8y5r210s1_0.png,36x8y5r30s1_25.png,36x8y5r180s0_5.png,36x8y5r120s0_5.png,36x8y5r150s2.png,36x8y5r150s1_5.png,36x8y5r120s1_75.png,36x8y5r300s1_25.png,36x8y5r270s1_25.png,36x8y5r0s1_25.png,36x8y5r30s1_75.png,36x8y5r240s1_75.png,Mean,StDev,StDev/Mean
0_0_0,0.9999999999999996,0.9999999999999999,1.0000000000000002,0.9999999999999997,0.9999999999999996,1.0,0.9999999999999997,1.0000000000000002,0.9999999999999997,1.0,1.0000000000000002,1.0000000000000004,1.0,0.9999999999999998,0.9999999999999998,1.0,0.9999999999999996,1.0,0.9999999999999998,0.9999999999999996,1.0000000000000002,0.9999999999999993,0.9999999999999998,0.9999999999999996,1.0000000000000004,0.9999999999999997,0.9999999999999999,0.9999999999999999,1.0,0.9999999999999996,0.9999999999999994,0.9999999999999999,0.9999999999999998,1.0000000000000007,0.9999999999999999,1.0000000000000002,1.0000000000000002,0.9999999999999999,0.9999999999999998,1.0,0.9999999999999999,1.0,0.9999999999999993,1.0,0.9999999999999994,1.0000000000000004,1.0000000000000004,1.0000000000000002,1.0,0.9999999999999999,1.0,0.9999999999999996,1.0,1.0,1.0000000000000002,0.9999999999999998,1.0000000000000002,1.0,0.9999999999999999,1.0000000000000002,1.0000000000000004,0.9999999999999997,1.0,1.0000000000000002,1.0,1.0,0.9999999999999998,0.9999999999999998,1.0000000000000004,0.9999999999999998,0.9999999999999998,1.0,0.9999999999999999,1.0000000000000004,1.0000000000000004,1.0000000000000002,1.0,0.9999999999999997,0.9999999999999996,0.9999999999999999,1.0,1.0000000000000004,1.0,1.0000000000000007,1.0,3.0235322834985704e-16,3.0235322834985704e-16
1_1_1,0.015426274039750202,0.014925383091349453,0.016060152328244138,0.014974255158016491,0.015255155788168679,0.015760895849150764,0.014974329536618558,0.01584011757163627,0.014800703787441543,0.01511366832719126,0.01430675447027975,0.01583235820258566,0.016355206125876102,0.015883527819647438,0.015386634874143917,0.01543596158661261,0.015761019491299877,0.01447432326159938,0.015059674093176623,0.014007408451091155,0.01486153094649497,0.01497672546920814,0.015396851843922064,0.015302602058559631,0.01480591531652039,0.014858177368708227,0.014609460909309294,0.014720642258645993,0.014998580956989978,0.014875398287954165,0.01611489097294621,0.01537533429628844,0.015218156624433713,0.015190565322366852,0.015009349001795142,0.015123106648850228,0.014718756577934889,0.014829829426853585,0.01565029164878692,0.01570457804446675,0.015420299409989676,0.013641798180007702,0.014969182408921304,0.014996689174250696,0.014520314863291509,0.015331164485898273,0.01531348692318967,0.014520210311031548,0.015040096423834267,0.014344841037234535,0.01527739948420621,0.014518891904818929,0.014915175225451289,0.01558203277336381,0.015435482758255901,0.015535631619453575,0.014450935637434877,0.014498564769405989,0.015814779402290067,0.015257886006829972,0.01631501811726411,0.015241426363232934,0.016351937967848028,0.015798576625888856,0.015132399073309722,0.014689838951509554,0.014794890748315111,0.015293680389103424,0.01429111930668008,0.014712454058641135,0.014956458325090871,0.014609243188437773,0.014953679235080578,0.015670057134233636,0.013922540719687985,0.013573901244697322,0.01463514797099177,0.014521827713311128,0.01466934913628199,0.01585927750322643,0.015023286575722421,0.015229193672761357,0.015194002461147013,0.015190580012384979,0.015095110680106235,0.0005644778684182262,0.037394748563331075
2_0_0,2.964609489142188,2.965387850806947,2.9636637325127464,2.965284286605116,2.9649029882460542,2.9640731740077557,2.9652872213063124,2.9640231932839556,2.9655492695156536,2.9651085526161105,2.9663002809275976,2.964017257587953,2.9632149714506877,2.963975114617937,2.9646606393973918,2.9645846542962,2.9640958814054343,2.965991883696648,2.9651886874278715,2.966723941772266,2.9654610276856648,2.965286746220722,2.964659571645842,2.964787321404244,2.9655670072378624,2.9654516204219075,2.9658576358677537,2.9657022559665207,2.96521501642757,2.96541688002612,2.9635610798633487,2.9647249423465936,2.9649537465832676,2.9649635390401117,2.965246219878068,2.965066173255705,2.9656684977042778,2.965506513265787,2.964321248999486,2.9642028841782286,2.9646211199457397,2.9672462682375262,2.965300347869658,2.9652316523310382,2.9659521334740333,2.964787225230697,2.9647832510302106,2.9659597638054698,2.96519556787242,2.966238960398995,2.9648296371342,2.9659624790701415,2.9654081137105095,2.9643794092969973,2.964593535914231,2.9644759263901674,2.9660932710227144,2.965996648027182,2.9640273635926477,2.964862533018149,2.9632361035700003,2.9648799538105495,2.9631949727528877,2.964058586703267,2.9650445998873987,2.96570472085128,2.9655870456717417,2.964812315246458,2.9663100837395415,2.9656715575125028,2.9653153452185013,2.9658523623069506,2.965356437276348,2.964281794786101,2.96682350197836,2.967370457254515,2.965799028607259,2.9659636870328536,2.9657702673390407,2.964000783331077,2.965214039767694,2.964903467954459,2.9649903189428595,2.9649661398634457,2.9651109021121393,0.0008427544739771818,0.00028422359291076156
2_0_2,8.788909423111905,8.793525105713446,8.783302719411383,8.792910900387213,8.790649729710383,8.785729780872412,8.792928304842519,8.785433490325214,8.794482469924828,8.791868728797207,8.798937356631143,8.785398303279205,8.780642967029497,8.785148480074414,8.789212706792155,8.788762172488521,8.785864394164662,8.797107854154389,8.792343952050226,8.80145094668478,8.793959106722514,8.792925487312283,8.789206375751311,8.789963861159357,8.794587674417727,8.793903313062923,8.796311516235061,8.795389871044911,8.792500093647554,8.79369727234385,8.782694274080825,8.789593983772013,8.790950719378158,8.791008787837256,8.792685144501167,8.791617411785229,8.795189638275547,8.794228880221805,8.787200467269876,8.78649873857053,8.788978384828333,8.804550416369523,8.79300615307592,8.792598751985858,8.796872058059172,8.789963290891134,8.78993972558926,8.796917320512994,8.792384755730243,8.79857357018891,8.79021477722931,8.796933427251904,8.793645280860124,8.787545282264015,8.788814833184443,8.788117518146844,8.797709292406227,8.79713611610848,8.785458212125981,8.790409839694789,8.780768205500712,8.790513140507647,8.780524446547986,8.785643305409366,8.791489479321424,8.795404491279568,8.79470652545605,8.790112064637063,8.798995512894887,8.79520778703864,8.79309509658832,8.79628023500172,8.793338800096276,8.786966558900305,8.802041691891137,8.805287430586867,8.795963878087758,8.79694059279752,8.79579327863229,8.78530064358724,8.792494301635449,8.790652574288375,8.791167591424877,8.791024210536737,8.79188337205937,0.004997752347865993,0.0005684507103163884
2_2_2,0.00015782402465352118,0.0001472964174854227,0.00016941334431613573,0.00014894152168699448,0.00015354024513275676,0.00016470684345473174,0.0001498942907964399,0.00016487226747101855,0.00014623107228918078,0.000151581308637115,0.00013588552793754953,0.00016464504489527608,0.00017580058880068913,0.00016570048924259594,0.000156854645705942,0.0001569860993706599,0.00016467930525848224,0.00013828195543795144,0.00014982388296710304,0.00013229349062733218,0.00014755763739052503,0.00014872275533902871,0.00015414779411483128,0.00015517612554844047,0.00014606543361359524,0.0001469361284843734,0.00014263425846964683,0.0001434222423804509,0.00014834402054228618,0.000146391664374514,0.00017018114223281446,0.00015630540178969836,0.00015344225142682798,0.00015296234239491107,0.00015000963658004364,0.00015133775551983263,0.00014420755371215212,0.00014702934854648263,0.00016013376851017875,0.0001622804301417735,0.00015758347743840515,0.000126050177796261,0.00014931843168016238,0.0001512014308283698,0.00014138032284589466,0.00015548358952828466,0.00015532287747076318,0.000141236035684924,0.0001490537980998633,0.00013734688892899554,0.00015381990371988305,0.0001413661285401286,0.00014801769325969156,0.00016072602180165798,0.0001589265460165019,0.00015760881728285316,0.00013914130651274275,0.00014010824121318724,0.000164614228258072,0.000154665678026612,0.0001733763511670098,0.00015470707807041935,0.00017576232582352502,0.0001653630067500766,0.00015267762184306634,0.00014376347504094016,0.00014532669898337228,0.00015569997984102798,0.00013724609201410754,0.00014486605249279923,0.00014884055327037116,0.0001426261528697491,0.00014868142988064357,0.0001607870253445649,0.00013077567066520202,0.0001228745349750994,0.0001429123154646666,0.00014126404346565764,0.00014302638683363024,0.0001652826033463724,0.00015060358620270242,0.00015360750503961998,0.00015233354091812243,0.00015378456593640442,0.00015132976486252034,1.0400846461795235e-05,0.0687296809801044
3_1_1,0.060957589733947465,0.05899296988647591,0.06344796648343116,0.05918247816617155,0.060288752491568544,0.06227032773069184,0.0591814742195019,0.06258596796182338,0.05849993178467428,0.059731643815836455,0.0565616389107884,0.06255515024619208,0.0646049217766928,0.06275677108778652,0.060802377010156644,0.06099682733314107,0.06227154257902603,0.05721934861597127,0.05952076668745694,0.05538166018743053,0.058739094557869194,0.05919269233070451,0.060847702686315334,0.06047247256056348,0.05852209677534695,0.05872642176025662,0.05774983468721063,0.05818874950443961,0.059278612945208226,0.05879504220669682,0.06366275112404583,0.06076015008010075,0.06014247404998581,0.060032303262272164,0.05932004194027622,0.05976823282842566,0.05817864221403612,0.058614431349810356,0.06184234980434812,0.062051963370612154,0.06093472032242112,0.053942765713384334,0.059162059858293065,0.05926744066154408,0.05739768931944712,0.06058648542244167,0.06051519926490234,0.05739733593807246,0.05944290378215795,0.0567094361331212,0.06037444140519869,0.057392329381033697,0.058951668902421143,0.061569414985463956,0.060992384454100386,0.06139219912689326,0.0571276563046308,0.057313740688936285,0.06248418365667275,0.06029615171678508,0.06444861644533711,0.06023121046114312,0.06459134715116607,0.06241955811487248,0.059802948741852074,0.058065105066854694,0.05847969943906336,0.060436690162367704,0.056497214966768884,0.058152994063941414,0.05911268269564424,0.057748809135354746,0.05910311080966622,0.06191933406634666,0.05504720280518991,0.053679639727544144,0.057849864183528374,0.05740384865665915,0.0579861878380098,0.06266120629226264,0.05937444197505136,0.06018448863898929,0.060048463512316366,0.060031241698390414,0.059657408100399184,0.0022179181212533886,0.03717758098911689
3_1_3,0.24087655493461121,0.23317126768047342,0.25066041520682947,0.23390583938422257,0.23826263903568748,0.24602622546336442,0.23389674190277474,0.24728373182862434,0.23122157351161443,0.2360690466207293,0.2236159852271411,0.24716133707008914,0.25519677866787005,0.24795576663347696,0.24026884892795083,0.24103538505407138,0.2460338950352785,0.2261973701196914,0.23524557338646873,0.218964721120637,0.23216189784889102,0.23394799033748317,0.24046752931923365,0.2389737329373063,0.23131537211763292,0.23211410977141825,0.22827970361829247,0.23001242129240224,0.23428576095194895,0.23238752476876956,0.25150315242506527,0.24011158174606684,0.23768431841775806,0.2372444578917021,0.2344450365818842,0.23621083540427776,0.22996198027644274,0.2316716843850149,0.24437092388753007,0.2451798543867554,0.24078910804846473,0.21330193676911813,0.23382368061666745,0.23422700049027023,0.22688865704562058,0.23942879350228718,0.23914144181788058,0.2268874969589817,0.23493591466975985,0.22418931922556454,0.23859251561484993,0.2268685167831438,0.23300425330910157,0.24327973870856684,0.24100774946005826,0.24260372580646183,0.2258379108966349,0.22656483065759425,0.2468749710587458,0.2382784817127437,0.25458900087416547,0.2380222577045608,0.25514053043778184,0.24661723188855536,0.23634009788497912,0.22951622802361685,0.23115245017085734,0.23883025045982165,0.22335096576440247,0.22985769098219025,0.23363213265629101,0.22827499778982382,0.23359988217380412,0.24467070530610058,0.21764666361439938,0.2122826495739095,0.22866914585940415,0.22691371262972293,0.22921248575839476,0.24757917081674743,0.23465733293976124,0.23784402185489173,0.2373185063916189,0.23723583805966636,0.23577213759458887,0.008714240623436675,0.03696043439374014
3_3_3,1.5301526467800188e-06,1.3808035124146368e-06,1.6763759857054603e-06,1.4084510852837948e-06,1.4634101336761543e-06,1.6239028390104387e-06,1.4315071438336887e-06,1.6166527849966837e-06,1.3793005129567182e-06,1.4457634221815893e-06,1.2324691765033411e-06,1.6129572217093613e-06,1.7740394516908608e-06,1.6285704993144603e-06,1.5119095702764979e-06,1.507321121161359e-06,1.6243286588717592e-06,1.2514266453689394e-06,1.4136895908019778e-06,1.2054852857912046e-06,1.395915602096774e-06,1.4028297130061849e-06,1.4460539158141512e-06,1.4878732358121369e-06,1.3758321663845462e-06,1.3812606412873223e-06,1.3327342522113704e-06,1.3298104057382761e-06,1.3891501006254208e-06,1.3643330368344966e-06,1.6823475119230453e-06,1.5058735298706879e-06,1.4688807935023832e-06,1.4616179174280396e-06,1.428084650050575e-06,1.4332492669756643e-06,1.3469968007202391e-06,1.389080653783574e-06,1.5404468401306713e-06,1.580722917692154e-06,1.5224683208531944e-06,1.1280986340349382e-06,1.418822223123266e-06,1.4599353815264982e-06,1.3161005696811674e-06,1.4953684344909362e-06,1.49306085175893e-06,1.3153689766850689e-06,1.398441990818768e-06,1.2591470676104036e-06,1.463700027772891e-06,1.3155337051061209e-06,1.4003731815422512e-06,1.5688909335901469e-06,1.556228152048046e-06,1.5018861017606371e-06,1.2810285728295525e-06,1.2904342972146593e-06,1.613778845889647e-06,1.488774115145834e-06,1.7159059085767612e-06,1.4902399329832496e-06,1.7748881024040368e-06,1.6338090991742997e-06,1.4627981656506139e-06,1.3386186401758653e-06,1.3598972453866565e-06,1.5033491149267366e-06,1.2632399976040357e-06,1.361091595312842e-06,1.406851324806329e-06,1.3325551505322125e-06,1.4090531208148529e-06,1.5520312469452178e-06,1.1816619937563957e-06,1.0697909305655317e-06,1.332969756997026e-06,1.3158632731354309e-06,1.3304191555568534e-06,1.623183062552903e-06,1.4356351347201752e-06,1.4655734410350264e-06,1.4470560824600706e-06,1.4817852245266236e-06,1.440920456241659e-06,1.3555660826561784e-07,0.09407639934489447
4_0_0,4.82466010702195,4.828480201040716,4.820005353073293,4.827978103165112,4.8260944315416685,4.822024147516759,4.827996154029438,4.821766586933745,4.829283750557421,4.827109093011976,4.8329698998352155,4.8217371491613,4.817801731315269,4.821530207808685,4.824909858495022,4.82453433002904,4.822134972529896,4.831454120158096,4.827499612146373,4.835062695820033,4.8288491604949035,4.827989208659335,4.824888414270001,4.8255326249014505,4.829365694277032,4.828800820763087,4.830796295886797,4.830026832951856,4.827634208393712,4.828627038802797,4.819499868011714,4.825220457178078,4.826346302826108,4.826400239447542,4.827792327011873,4.8269025916061965,4.829868241600555,4.829073173959061,4.82322857493272,4.822656981450724,4.824715756203252,4.837637697070308,4.828058887287496,4.827726416320591,4.831266132929609,4.8255270376686425,4.82551353608602,4.831304001409029,4.8275374493306265,4.832674952768619,4.825738577892435,4.831316745597178,4.828583474073883,4.823528344114036,4.824585125243681,4.823987969401649,4.831953433755542,4.83148154376218,4.821794554357448,4.825904924113548,4.817900004306518,4.825990876586809,4.817703865826772,4.821951011897071,4.82680083300466,4.830045778039851,4.829462000728444,4.825658155152892,4.833027175516811,4.8298852238772465,4.828130667129261,4.830770529102409,4.828329020873206,4.8230358002399925,4.835555163224884,4.83823789158106,4.830511478021055,4.831323150450325,4.830363768567064,4.821656907589633,4.827634219938514,4.826103234700873,4.826523925167395,4.826416153255883,4.827123630437869,0.004146668273810511,0.0008590350260895153
4_0_2,14.303233135163042,14.31831652602803,14.284875055420612,14.316327605389082,14.30890180163554,14.292832420072042,14.31639530005952,14.291827996273236,14.32147889874938,14.312902456100806,14.336039971595818,14.291712121667027,14.276182219714446,14.290895550323594,14.304220346120633,14.302740438929298,14.293270411656978,14.330053706841639,14.314447238498868,14.344296259659258,14.31976399402027,14.316372411334207,14.304151619488694,14.30667794533037,14.321807568834329,14.319575218626541,14.327454081477523,14.32442147486415,14.314973448548457,14.31889212821636,14.282882233246069,14.305451441716883,14.309893552872577,14.310100734776416,14.315592948028298,14.312085595971828,14.323788092177116,14.32064795041268,14.297598953454576,14.295333733818504,14.303454228575141,14.35446240371705,14.316644698008814,14.315327178468507,14.329304094343422,14.306660916285317,14.306601709407394,14.329453274891534,14.314592648493301,14.33486872784665,14.307492756797334,14.3295041919445,14.318720611747176,14.298768103452089,14.302933875765365,14.300596204486984,14.33202456575741,14.330158063803818,14.291931000737492,14.308144697412043,14.276575236151123,14.308483607264835,14.275795875430044,14.292545301476018,14.311679744632464,14.324489565860581,14.322189946924206,14.3071707275668,14.336257245722752,14.323853234502664,14.316929955958441,14.32735218550118,14.317716543334573,14.29683721825302,14.346238703368382,14.356844184647006,14.326326249191059,14.329529024556834,14.325749245247966,14.291394851049374,14.314968767824643,14.308930217270843,14.310596712267413,14.310160471293665,14.312960397075617,0.016363566224929776,0.0011432691610236785
