,36x8y5r330s1_5.png,36x8y5r120s1_25.png,36x8y5r0s1_0.png,36x8y5r60s1_5.png,36x8y5r30s2.png,36x8y5r270s0_5.png,36x8y5r240s1_5.png,36x8y5r300s0_75.png,Mean,StDev,StDev/Mean
0_0_0,0.9999999999999999,1.0,0.9999999999999997,0.9999999999999999,0.9999999999999999,1.0000000000000002,0.9999999999999999,1.0000000000000002,1.0,1.798766884999431e-16,1.798766884999431e-16
1_1_1,0.015393302895260301,0.014919225001170884,0.01602681256757354,0.01494510768262525,0.015255930420957464,0.01573578963889999,0.014946372155267187,0.015838744279741163,0.015382660580186973,0.00041236978427600687,0.026807442192876795
2_0_0,2.9646897576921507,2.965395981826099,2.963749021959766,2.9653551010298553,2.964902297713735,2.9641306705044133,2.9653571480106318,2.964016743343603,2.9646995902600315,0.0006206603803888892,0.00020935017579115043
2_0_2,8.789385359364742,8.793573329030373,8.783808265167472,8.793330875203786,8.790645634988186,8.786070631824934,8.79334301525775,8.785395254821218,8.78944404570731,0.0036800526472644955,0.0004186900363808337
2_2_2,0.0001568212563962296,0.0001471363766089814,0.0001682048534312696,0.00014805522087005387,0.0001535367571187506,0.00016383358715399226,0.0001490656505907048,0.00016485701486214415,0.0001564388396290158,7.776086498186734e-06,0.049706879165220104
3_1_1,0.060830337831338184,0.05896889195062872,0.06331996636413878,0.05906995797650112,0.060291834450794765,0.062174036492755075,0.05907357165499548,0.06258038109442417,0.06078862222694703,0.0016199011352096512,0.026648097552893116
3_1_3,0.24038570707356696,0.23307713487879017,0.25016940351993494,0.23347171592494592,0.23827490039207333,0.24565725028799168,0.23348052837344202,0.24726102200744426,0.24022220780727366,0.006363189866650622,0.02648876606677308
3_3_3,1.5147148303973227e-06,1.3785440620633557e-06,1.654913021039411e-06,1.3946916655331479e-06,1.4632909711190511e-06,1.6099684367717477e-06,1.4194555109021057e-06,1.617066586735832e-06,1.5065806355702466e-06,1.0206746097238045e-07,0.06774775844224729
4_0_0,4.825047810893482,4.828519589379344,4.820415586553764,4.828320065697685,4.826090891218918,4.822297933897085,4.828334000332418,4.821734555015313,4.825095054123501,0.0030542406976439875,0.0006329907832663004
4_0_2,14.304769825330835,14.318472588514112,14.286501980088335,14.317683536221441,14.308887972350298,14.293921208174403,14.317734740868506,14.291701953023804,14.304959225571466,0.012049205309015194,0.0008423096577217851
4_2_2,0.000773480284521669,0.0007258563007241398,0.0008294897453322978,0.0007303701975628013,0.0007573398694307603,0.0008079577064260566,0.0007353237485744507,0.000813003635034211,0.0007716026859507983,3.824689891221204e-05,0.049568125679970584
4_0_4,23.281086377407977,23.314601425020072,23.236406427090476,23.312674656818903,23.291153290306212,23.25455736326808,23.312809218766052,23.249124119028714,23.28155160971331,0.029471808977484193,0.001265886804777575
4_2_4,0.0038149914386102724,0.0035808097320562415,0.004090567088734967,0.0036029842267846766,0.0037356766457284692,0.003984504439615736,0.003627267670821129,0.004009382986411328,0.003805773028595353,0.0001881169903796066,0.049429377150491144
4_4_4,1.3988922874342757e-08,1.248255973174553e-08,1.5695225836072928e-08,1.2619258455990395e-08,1.3447110172013312e-08,1.5081605471959657e-08,1.2821137142328713e-08,1.5263408878275734e-08,1.3924903570341128e-08,1.1989238360329243e-09,0.08609925591057815
